,t1,t4,t5,t6,t1n,t4n,t5n,t6n,x,y
1463,-77.47,-81.19,-71.81,-75.52,-81.47,-76.9,-72.79,-72.97,3.1,4.3
1464,-77.48,-81.1,-71.85,-75.6,-76.5,-77.94,-100,-69.14,3.0,4.3
1465,-77.49,-81.01,-71.9,-75.67,-73.65,-77.99,-71.95,-75.21,2.9,4.3
1466,-77.51,-80.93,-71.96,-75.74,-82.78,-100,-100,-74.97,2.8,4.3
1467,-77.53,-80.84,-72.04,-75.82,-75.74,-84.76,-70.29,-75.28,2.7,4.3
1468,-77.55,-80.76,-72.12,-75.89,-81.33,-85.18,-100,-75.42,2.6,4.3
1469,-77.57,-80.68,-72.21,-75.97,-76.21,-79.86,-65.87,-100,2.5,4.3
1470,-77.6,-80.6,-72.31,-76.04,-79.46,-77.28,-77.24,-74.19,2.4,4.3
1471,-77.64,-80.52,-72.42,-76.12,-80.18,-70.54,-71.6,-79.28,2.3,4.3
1472,-77.67,-80.44,-72.54,-76.2,-76.11,-81.05,-81.64,-82.73,2.2,4.3
1473,-77.71,-80.37,-72.66,-76.27,-78.93,-84.93,-72.32,-70.44,2.1,4.3
1474,-77.75,-80.3,-72.79,-76.35,-77.01,-81.17,-72.19,-100,2.0,4.3
1475,-77.79,-80.23,-72.92,-76.42,-83.04,-100,-70.22,-69.11,1.9,4.3
1476,-77.84,-80.16,-73.06,-76.5,-87.43,-70.93,-82.58,-72.76,1.8,4.3
1477,-77.88,-80.1,-73.2,-76.57,-75.49,-79.13,-76.72,-80.48,1.7,4.3
1478,-77.93,-80.03,-73.34,-76.64,-82.59,-76.15,-80.33,-74.26,1.6,4.3
1479,-77.98,-79.97,-73.49,-76.71,-82.92,-79.7,-71.36,-76.5,1.5,4.3
1480,-78.04,-79.92,-73.63,-76.78,-75.41,-74.48,-85.1,-76.53,1.4,4.3
1481,-78.09,-79.86,-73.78,-76.85,-100,-73.04,-100,-81.26,1.3,4.3
1482,-78.15,-79.81,-73.93,-76.91,-84.44,-82.23,-75.23,-73.15,1.2,4.3
1483,-78.21,-79.77,-74.08,-76.97,-77.71,-76.33,-72.27,-75.44,1.1,4.3
1484,-78.27,-79.72,-74.23,-77.03,-81.42,-85.97,-64.79,-79.05,1.0,4.3
1485,-78.33,-79.69,-74.38,-77.08,-76.29,-80.67,-72.02,-77.05,0.9,4.3
1486,-78.39,-79.65,-74.53,-77.13,-83.01,-90.66,-100,-72.47,0.8,4.3
1487,-78.46,-79.62,-74.68,-77.17,-82.75,-78.89,-74.13,-77.57,0.7,4.3
1488,-78.52,-79.59,-74.83,-77.21,-83.82,-83.52,-75.15,-68.35,0.6,4.3
1489,-78.59,-79.57,-74.97,-77.25,-80.67,-100,-77.8,-73.6,0.5,4.3
1490,-78.66,-79.55,-75.12,-77.28,-82.02,-100,-82.77,-84.17,0.4,4.3
1491,-78.73,-79.53,-75.26,-77.3,-74.3,-84.61,-76.23,-88.03,0.3,4.3
1492,-78.79,-79.52,-75.41,-77.32,-100,-81.31,-72.7,-70.24,0.2,4.3
1493,-78.86,-79.52,-75.55,-77.33,-65.15,-73.14,-81.97,-82.15,0.1,4.3
1494,-78.93,-79.51,-75.69,-77.33,-73.55,-100,-70.76,-72.59,0.0,4.3
1495,-79.02,-79.7,-75.59,-77.48,-80.29,-79.51,-100,-82.02,0.0,4.4
1496,-78.96,-79.7,-75.45,-77.48,-75.16,-79.15,-81.46,-72.43,0.1,4.4
1497,-78.89,-79.71,-75.3,-77.47,-82.2,-81.25,-74.43,-83.18,0.2,4.4
1498,-78.82,-79.72,-75.15,-77.45,-71.06,-78.26,-79.48,-100,0.3,4.4
1499,-78.76,-79.73,-75.01,-77.43,-82.74,-79.93,-73.55,-79.99,0.4,4.4
1500,-78.69,-79.75,-74.85,-77.4,-85.1,-85.0,-82.91,-78.72,0.5,4.4
1501,-78.63,-79.77,-74.7,-77.36,-82.11,-78.75,-72.58,-75.62,0.6,4.4
1502,-78.56,-79.8,-74.55,-77.32,-85.37,-100,-73.83,-75.43,0.7,4.4
1503,-78.5,-79.83,-74.4,-77.27,-77.81,-100,-74.7,-72.19,0.8,4.4
1504,-78.44,-79.86,-74.24,-77.21,-90.55,-74.56,-76.2,-81.16,0.9,4.4
1505,-78.38,-79.9,-74.08,-77.16,-83.3,-80.11,-100,-73.75,1.0,4.4
1506,-78.32,-79.94,-73.93,-77.09,-100,-77.49,-73.17,-85.24,1.1,4.4
1507,-78.27,-79.99,-73.77,-77.03,-80.72,-71.67,-67.66,-72.68,1.2,4.4
1508,-78.21,-80.03,-73.62,-76.96,-100,-100,-67.84,-72.9,1.3,4.4
1509,-78.16,-80.08,-73.46,-76.89,-80.72,-100,-67.84,-73.98,1.4,4.4
1510,-78.11,-80.14,-73.31,-76.82,-71.19,-72.72,-71.57,-76.26,1.5,4.4
1511,-78.06,-80.2,-73.15,-76.74,-81.31,-81.48,-76.0,-74.51,1.6,4.4
1512,-78.01,-80.25,-73.0,-76.67,-100,-76.72,-65.7,-75.88,1.7,4.4
1513,-77.96,-80.32,-72.85,-76.59,-77.39,-100,-80.22,-100,1.8,4.4
1514,-77.92,-80.38,-72.71,-76.51,-80.08,-81.19,-100,-83.79,1.9,4.4
1515,-77.88,-80.45,-72.56,-76.43,-80.77,-86.1,-100,-77.99,2.0,4.4
1516,-77.84,-80.52,-72.43,-76.35,-78.87,-82.38,-67.94,-100,2.1,4.4
1517,-77.8,-80.59,-72.3,-76.27,-80.27,-71.93,-72.12,-73.06,2.2,4.4
1518,-77.77,-80.66,-72.17,-76.2,-82.55,-71.67,-78.23,-79.84,2.3,4.4
1519,-77.74,-80.74,-72.05,-76.12,-76.9,-85.65,-75.23,-72.87,2.4,4.4
1520,-77.71,-80.82,-71.94,-76.04,-74.39,-84.42,-100,-71.69,2.5,4.4
1521,-77.69,-80.9,-71.84,-75.96,-70.1,-79.44,-74.13,-74.82,2.6,4.4
1522,-77.67,-80.98,-71.75,-75.88,-78.84,-86.31,-66.44,-72.34,2.7,4.4
1523,-77.65,-81.06,-71.67,-75.8,-75.44,-82.0,-63.29,-83.83,2.8,4.4
1524,-77.63,-81.14,-71.61,-75.73,-72.31,-82.62,-70.34,-73.75,2.9,4.4
1525,-77.62,-81.23,-71.55,-75.65,-100,-81.69,-62.85,-73.28,3.0,4.4
1526,-77.61,-81.31,-71.51,-75.58,-87.82,-85.74,-75.92,-75.94,3.1,4.4
1527,-77.6,-81.4,-71.48,-75.5,-100,-94.36,-75.21,-82.72,3.2,4.4
1528,-77.6,-81.48,-71.47,-75.43,-74.16,-81.61,-100,-100,3.3,4.4
1529,-77.74,-81.6,-71.15,-75.48,-80.43,-83.53,-74.35,-79.25,3.3,4.5
1530,-77.74,-81.52,-71.16,-75.55,-80.19,-79.89,-76.32,-78.78,3.2,4.5
1531,-77.75,-81.43,-71.19,-75.63,-74.56,-80.36,-68.06,-73.51,3.1,4.5
1532,-77.76,-81.35,-71.24,-75.71,-83.27,-84.62,-69.94,-100,3.0,4.5
1533,-77.77,-81.27,-71.3,-75.78,-100,-77.67,-76.75,-69.53,2.9,4.5
1534,-77.78,-81.19,-71.37,-75.86,-77.29,-82.52,-75.33,-68.28,2.8,4.5
1535,-77.8,-81.11,-71.46,-75.94,-76.51,-100,-75.33,-74.51,2.7,4.5
1536,-77.82,-81.03,-71.56,-76.02,-72.9,-76.65,-62.1,-80.44,2.6,4.5
1537,-77.85,-80.95,-71.67,-76.11,-82.12,-82.74,-69.71,-80.34,2.5,4.5
1538,-77.87,-80.88,-71.79,-76.19,-88.5,-79.58,-72.92,-100,2.4,4.5
1539,-77.9,-80.81,-71.91,-76.27,-79.25,-73.31,-77.97,-86.1,2.3,4.5
1540,-77.94,-80.74,-72.05,-76.35,-81.44,-84.32,-70.85,-66.68,2.2,4.5
1541,-77.97,-80.67,-72.19,-76.44,-100,-88.24,-64.35,-70.06,2.1,4.5
1542,-78.01,-80.6,-72.34,-76.52,-82.41,-86.12,-61.21,-68.41,2.0,4.5
1543,-78.05,-80.53,-72.49,-76.6,-78.36,-100,-81.12,-80.8,1.9,4.5
1544,-78.09,-80.47,-72.64,-76.69,-81.41,-72.86,-75.95,-100,1.8,4.5
1545,-78.13,-80.41,-72.8,-76.77,-80.6,-82.19,-100,-83.2,1.7,4.5
1546,-78.18,-80.35,-72.96,-76.85,-83.65,-81.07,-73.77,-80.04,1.6,4.5
1547,-78.23,-80.3,-73.12,-76.93,-83.5,-73.42,-67.1,-77.76,1.5,4.5
1548,-78.28,-80.25,-73.28,-77.01,-69.27,-76.81,-74.26,-100,1.4,4.5
1549,-78.33,-80.2,-73.45,-77.08,-70.84,-100,-80.31,-72.45,1.3,4.5
1550,-78.38,-80.15,-73.61,-77.15,-83.09,-87.36,-76.03,-79.22,1.2,4.5
1551,-78.43,-80.11,-73.78,-77.22,-76.38,-83.14,-63.65,-76.61,1.1,4.5
1552,-78.49,-80.07,-73.94,-77.29,-74.59,-80.14,-72.93,-71.1,1.0,4.5
1553,-78.55,-80.03,-74.1,-77.35,-87.55,-87.54,-74.65,-78.02,0.9,4.5
1554,-78.61,-80.0,-74.26,-77.41,-78.41,-81.83,-75.45,-80.68,0.8,4.5
1555,-78.67,-79.97,-74.42,-77.46,-76.53,-82.67,-74.1,-67.77,0.7,4.5
1556,-78.73,-79.95,-74.58,-77.51,-78.25,-100,-100,-75.67,0.6,4.5
1557,-78.79,-79.93,-74.74,-77.55,-72.72,-77.67,-67.01,-83.48,0.5,4.5
1558,-78.85,-79.91,-74.89,-77.58,-73.83,-86.85,-72.5,-73.86,0.4,4.5
1559,-78.92,-79.9,-75.05,-77.61,-75.4,-86.98,-68.07,-100,0.3,4.5
1560,-78.98,-79.89,-75.2,-77.63,-84.01,-100,-74.56,-84.53,0.2,4.5
1561,-79.05,-79.88,-75.35,-77.64,-89.26,-78.7,-67.49,-77.66,0.1,4.5
1562,-79.11,-79.88,-75.5,-77.65,-88.26,-76.48,-78.05,-67.67,0.0,4.5
1563,-79.2,-80.05,-75.41,-77.82,-83.44,-79.63,-73.72,-77.51,0.0,4.6
1564,-79.14,-80.06,-75.26,-77.81,-100,-82.23,-77.7,-75.57,0.1,4.6
1565,-79.07,-80.06,-75.1,-77.8,-83.58,-77.96,-70.5,-74.63,0.2,4.6
1566,-79.01,-80.07,-74.94,-77.78,-75.95,-89.46,-78.18,-83.99,0.3,4.6
1567,-78.95,-80.08,-74.79,-77.75,-100,-100,-68.59,-81.34,0.4,4.6
1568,-78.89,-80.1,-74.62,-77.71,-84.2,-79.59,-80.68,-83.03,0.5,4.6
1569,-78.83,-80.12,-74.46,-77.67,-79.2,-77.66,-100,-78.74,0.6,4.6
1570,-78.77,-80.15,-74.3,-77.62,-78.96,-82.08,-73.91,-80.11,0.7,4.6
1571,-78.71,-80.17,-74.13,-77.56,-69.89,-78.55,-78.73,-75.7,0.8,4.6
1572,-78.65,-80.2,-73.96,-77.5,-82.34,-79.96,-78.65,-67.69,0.9,4.6
1573,-78.6,-80.24,-73.79,-77.43,-79.27,-83.41,-100,-82.0,1.0,4.6
1574,-78.54,-80.28,-73.62,-77.36,-77.33,-86.8,-100,-71.91,1.1,4.6
1575,-78.49,-80.32,-73.45,-77.28,-100,-89.4,-70.35,-73.44,1.2,4.6
1576,-78.44,-80.36,-73.28,-77.2,-75.3,-80.77,-77.91,-100,1.3,4.6
1577,-78.39,-80.41,-73.11,-77.12,-81.29,-83.7,-71.2,-76.77,1.4,4.6
1578,-78.34,-80.46,-72.94,-77.04,-78.14,-94.03,-66.32,-69.67,1.5,4.6
1579,-78.3,-80.51,-72.77,-76.95,-82.75,-92.46,-71.34,-89.08,1.6,4.6
1580,-78.25,-80.57,-72.6,-76.87,-74.22,-81.14,-70.5,-78.15,1.7,4.6
1581,-78.21,-80.62,-72.43,-76.78,-74.76,-80.4,-70.05,-81.63,1.8,4.6
1582,-78.17,-80.68,-72.26,-76.69,-75.46,-77.67,-71.57,-72.82,1.9,4.6
1583,-78.13,-80.75,-72.1,-76.61,-76.79,-82.2,-71.98,-85.51,2.0,4.6
1584,-78.1,-80.81,-71.94,-76.52,-75.68,-81.13,-74.44,-83.05,2.1,4.6
1585,-78.06,-80.88,-71.79,-76.43,-74.03,-77.55,-77.67,-73.99,2.2,4.6
1586,-78.03,-80.95,-71.65,-76.35,-86.39,-81.15,-69.26,-88.38,2.3,4.6
1587,-78.01,-81.02,-71.51,-76.26,-71.2,-88.11,-73.53,-72.96,2.4,4.6
1588,-77.98,-81.09,-71.38,-76.17,-77.21,-80.81,-65.34,-100,2.5,4.6
1589,-77.96,-81.16,-71.26,-76.09,-83.15,-74.01,-100,-76.19,2.6,4.6
1590,-77.94,-81.24,-71.15,-76.01,-63.21,-85.45,-75.54,-85.08,2.7,4.6
1591,-77.92,-81.32,-71.06,-75.92,-73.76,-87.26,-72.05,-78.37,2.8,4.6
1592,-77.91,-81.39,-70.98,-75.84,-78.11,-83.67,-71.2,-75.15,2.9,4.6
1593,-77.89,-81.47,-70.91,-75.76,-77.8,-75.67,-100,-83.34,3.0,4.6
1594,-77.88,-81.55,-70.86,-75.68,-100,-79.13,-64.52,-100,3.1,4.6
1595,-77.88,-81.63,-70.83,-75.6,-68.77,-67.57,-76.45,-78.66,3.2,4.6
1596,-77.88,-81.72,-70.81,-75.52,-76.38,-81.81,-78.09,-70.6,3.3,4.6
1597,-78.01,-81.83,-70.46,-75.57,-78.66,-88.02,-69.39,-80.85,3.3,4.7
1598,-78.01,-81.75,-70.48,-75.65,-81.77,-85.51,-100,-88.8,3.2,4.7
1599,-78.02,-81.67,-70.52,-75.73,-79.6,-93.69,-68.72,-76.26,3.1,4.7
1600,-78.03,-81.59,-70.57,-75.81,-77.79,-82.13,-74.19,-78.47,3.0,4.7
1601,-78.04,-81.52,-70.64,-75.9,-80.81,-100,-69.13,-74.71,2.9,4.7
1602,-78.05,-81.44,-70.73,-75.98,-72.93,-76.76,-62.36,-80.57,2.8,4.7
1603,-78.07,-81.37,-70.84,-76.07,-75.36,-87.37,-100,-100,2.7,4.7
1604,-78.09,-81.29,-70.95,-76.15,-77.62,-81.18,-78.81,-78.32,2.6,4.7
1605,-78.11,-81.22,-71.08,-76.24,-75.67,-80.94,-71.06,-76.76,2.5,4.7
1606,-78.13,-81.15,-71.22,-76.33,-75.52,-86.45,-61.91,-66.77,2.4,4.7
1607,-78.16,-81.09,-71.37,-76.42,-73.25,-77.54,-71.65,-76.34,2.3,4.7
1608,-78.19,-81.02,-71.53,-76.51,-77.46,-74.46,-68.94,-80.51,2.2,4.7
1609,-78.22,-80.95,-71.69,-76.6,-79.13,-79.26,-70.88,-70.14,2.1,4.7
1610,-78.26,-80.89,-71.86,-76.69,-79.82,-91.44,-100,-69.8,2.0,4.7
1611,-78.29,-80.83,-72.04,-76.79,-74.13,-77.34,-68.63,-73.96,1.9,4.7
1612,-78.33,-80.77,-72.21,-76.88,-81.28,-73.33,-69.26,-79.0,1.8,4.7
1613,-78.37,-80.72,-72.39,-76.97,-76.48,-83.38,-75.0,-70.74,1.7,4.7
1614,-78.41,-80.66,-72.57,-77.06,-73.11,-83.53,-71.66,-72.44,1.6,4.7
1615,-78.46,-80.61,-72.75,-77.15,-82.6,-80.12,-73.24,-77.55,1.5,4.7
1616,-78.5,-80.57,-72.93,-77.24,-75.5,-83.66,-87.28,-73.7,1.4,4.7
1617,-78.55,-80.52,-73.11,-77.33,-86.02,-85.43,-100,-78.61,1.3,4.7
1618,-78.6,-80.48,-73.29,-77.41,-73.73,-78.45,-71.16,-79.86,1.2,4.7
1619,-78.65,-80.44,-73.47,-77.49,-75.8,-100,-66.7,-76.69,1.1,4.7
1620,-78.71,-80.4,-73.65,-77.57,-66.27,-82.8,-79.02,-84.12,1.0,4.7
1621,-78.76,-80.37,-73.83,-77.64,-73.37,-88.55,-100,-83.58,0.9,4.7
1622,-78.81,-80.34,-74.0,-77.71,-73.86,-83.4,-79.82,-80.79,0.8,4.7
1623,-78.87,-80.31,-74.17,-77.77,-82.56,-73.49,-79.81,-70.38,0.7,4.7
1624,-78.93,-80.29,-74.34,-77.83,-100,-79.19,-72.75,-79.15,0.6,4.7
1625,-78.99,-80.27,-74.51,-77.88,-75.03,-85.01,-100,-76.86,0.5,4.7
1626,-79.05,-80.25,-74.68,-77.92,-82.45,-79.04,-100,-71.85,0.4,4.7
1627,-79.11,-80.24,-74.84,-77.95,-72.79,-75.18,-72.8,-80.65,0.3,4.7
1628,-79.17,-80.23,-75.0,-77.98,-77.31,-83.28,-80.32,-100,0.2,4.7
1629,-79.23,-80.23,-75.16,-77.99,-76.53,-80.83,-74.84,-74.7,0.1,4.7
1630,-79.29,-80.23,-75.32,-78.0,-75.43,-78.05,-73.24,-87.73,0.0,4.7
1631,-79.38,-80.39,-75.23,-78.18,-83.92,-81.12,-78.91,-80.81,0.0,4.8
1632,-79.32,-80.4,-75.07,-78.18,-78.97,-85.44,-78.67,-71.55,0.1,4.8
1633,-79.26,-80.4,-74.91,-78.16,-79.9,-86.51,-83.02,-85.47,0.2,4.8
1634,-79.2,-80.41,-74.74,-78.14,-100,-90.16,-100,-82.34,0.3,4.8
1635,-79.14,-80.42,-74.57,-78.1,-80.35,-78.72,-76.63,-75.69,0.4,4.8
1636,-79.08,-80.44,-74.4,-78.05,-77.61,-84.02,-73.64,-74.12,0.5,4.8
1637,-79.03,-80.46,-74.23,-78.0,-91.06,-80.39,-72.64,-100,0.6,4.8
1638,-78.97,-80.48,-74.05,-77.94,-80.25,-72.64,-72.46,-72.48,0.7,4.8
1639,-78.92,-80.5,-73.87,-77.87,-76.89,-81.57,-79.78,-71.76,0.8,4.8
1640,-78.86,-80.53,-73.69,-77.8,-73.48,-82.24,-77.45,-81.9,0.9,4.8
1641,-78.81,-80.56,-73.51,-77.72,-80.26,-72.55,-76.42,-100,1.0,4.8
1642,-78.76,-80.6,-73.32,-77.63,-76.26,-78.17,-69.27,-81.31,1.1,4.8
1643,-78.71,-80.64,-73.13,-77.54,-79.89,-75.06,-71.55,-79.92,1.2,4.8
1644,-78.66,-80.68,-72.95,-77.45,-79.56,-79.59,-81.22,-80.71,1.3,4.8
1645,-78.62,-80.72,-72.76,-77.36,-82.93,-72.41,-72.99,-79.77,1.4,4.8
1646,-78.57,-80.77,-72.56,-77.26,-79.87,-80.22,-70.32,-78.33,1.5,4.8
1647,-78.53,-80.82,-72.37,-77.17,-78.25,-71.03,-74.75,-82.25,1.6,4.8
1648,-78.49,-80.87,-72.18,-77.07,-81.13,-82.53,-74.91,-74.3,1.7,4.8
1649,-78.45,-80.92,-71.99,-76.98,-78.36,-78.91,-76.49,-75.6,1.8,4.8
1650,-78.41,-80.98,-71.8,-76.88,-72.43,-75.36,-78.78,-79.62,1.9,4.8
1651,-78.38,-81.04,-71.62,-76.78,-75.53,-81.71,-68.62,-77.65,2.0,4.8
1652,-78.35,-81.1,-71.44,-76.69,-80.84,-78.94,-68.84,-100,2.1,4.8
1653,-78.31,-81.16,-71.26,-76.59,-76.08,-74.3,-64.59,-74.17,2.2,4.8
1654,-78.29,-81.22,-71.09,-76.5,-62.75,-83.42,-74.58,-84.73,2.3,4.8
1655,-78.26,-81.29,-70.93,-76.4,-67.86,-86.46,-72.8,-100,2.4,4.8
1656,-78.24,-81.36,-70.78,-76.31,-78.48,-73.87,-73.05,-68.32,2.5,4.8
1657,-78.22,-81.42,-70.63,-76.22,-73.48,-83.35,-68.76,-77.38,2.6,4.8
1658,-78.2,-81.5,-70.51,-76.13,-74.8,-77.9,-71.86,-73.9,2.7,4.8
1659,-78.18,-81.57,-70.39,-76.04,-85.07,-87.69,-68.41,-83.9,2.8,4.8
1660,-78.17,-81.64,-70.29,-75.95,-75.47,-81.42,-70.48,-79.61,2.9,4.8
1661,-78.16,-81.71,-70.21,-75.87,-83.8,-71.81,-75.47,-75.73,3.0,4.8
1662,-78.15,-81.79,-70.15,-75.78,-73.41,-87.89,-70.74,-73.53,3.1,4.8
1663,-78.14,-81.87,-70.11,-75.7,-74.04,-76.77,-70.74,-73.05,3.2,4.8
1664,-78.14,-81.94,-70.09,-75.61,-100,-76.16,-100,-76.39,3.3,4.8
1665,-78.27,-82.06,-69.69,-75.66,-82.48,-100,-74.02,-77.07,3.3,4.9
1666,-78.27,-81.98,-69.72,-75.74,-79.94,-74.29,-66.71,-71.22,3.2,4.9
1667,-78.28,-81.91,-69.76,-75.83,-69.08,-84.31,-70.29,-84.15,3.1,4.9
1668,-78.29,-81.83,-69.83,-75.92,-74.31,-87.22,-55.36,-86.29,3.0,4.9
1669,-78.3,-81.76,-69.92,-76.0,-75.01,-74.82,-73.81,-75.71,2.9,4.9
1670,-78.31,-81.69,-70.03,-76.1,-79.59,-82.2,-70.24,-70.64,2.8,4.9
1671,-78.32,-81.62,-70.16,-76.19,-82.35,-75.77,-66.86,-67.66,2.7,4.9
1672,-78.34,-81.55,-70.3,-76.28,-83.26,-80.8,-64.69,-76.08,2.6,4.9
1673,-78.36,-81.49,-70.46,-76.37,-77.15,-100,-70.83,-70.59,2.5,4.9
1674,-78.38,-81.42,-70.63,-76.47,-70.78,-82.09,-100,-86.66,2.4,4.9
1675,-78.41,-81.36,-70.8,-76.57,-81.85,-100,-74.61,-76.14,2.3,4.9
1676,-78.44,-81.29,-70.99,-76.67,-74.56,-77.8,-75.41,-100,2.2,4.9
1677,-78.47,-81.23,-71.18,-76.77,-89.09,-78.48,-70.69,-81.11,2.1,4.9
1678,-78.5,-81.18,-71.37,-76.87,-83.77,-84.54,-83.88,-78.23,2.0,4.9
1679,-78.53,-81.12,-71.57,-76.97,-80.73,-78.94,-77.26,-68.71,1.9,4.9
1680,-78.57,-81.07,-71.77,-77.07,-76.06,-74.59,-74.5,-100,1.8,4.9
1681,-78.6,-81.01,-71.97,-77.17,-70.21,-77.38,-100,-92.47,1.7,4.9
1682,-78.64,-80.97,-72.18,-77.28,-78.61,-76.91,-84.28,-79.33,1.6,4.9
1683,-78.69,-80.92,-72.38,-77.38,-76.34,-80.9,-73.65,-78.07,1.5,4.9
1684,-78.73,-80.87,-72.58,-77.48,-82.22,-100,-72.35,-73.14,1.4,4.9
1685,-78.77,-80.83,-72.78,-77.58,-81.38,-80.47,-100,-77.58,1.3,4.9
1686,-78.82,-80.79,-72.98,-77.68,-100,-94.25,-74.56,-79.04,1.2,4.9
1687,-78.87,-80.76,-73.17,-77.77,-80.55,-76.07,-75.73,-77.71,1.1,4.9
1688,-78.92,-80.72,-73.37,-77.87,-82.68,-76.49,-74.39,-73.22,1.0,4.9
1689,-78.97,-80.69,-73.56,-77.95,-100,-84.19,-74.94,-77.36,0.9,4.9
1690,-79.02,-80.66,-73.75,-78.04,-72.77,-85.97,-65.74,-79.47,0.8,4.9
1691,-79.07,-80.64,-73.93,-78.11,-79.4,-100,-73.87,-82.08,0.7,4.9
1692,-79.12,-80.62,-74.11,-78.18,-79.87,-100,-100,-100,0.6,4.9
1693,-79.18,-80.6,-74.29,-78.24,-87.22,-80.16,-69.34,-100,0.5,4.9
1694,-79.23,-80.59,-74.47,-78.29,-72.97,-85.18,-72.51,-80.58,0.4,4.9
1695,-79.29,-80.57,-74.64,-78.33,-77.27,-83.02,-73.4,-73.02,0.3,4.9
1696,-79.35,-80.57,-74.81,-78.36,-77.84,-75.59,-68.77,-74.72,0.2,4.9
1697,-79.41,-80.56,-74.98,-78.38,-80.44,-80.31,-74.9,-63.72,0.1,4.9
1698,-79.47,-80.56,-75.15,-78.38,-79.28,-80.79,-75.31,-76.77,0.0,4.9
1699,-79.55,-80.72,-75.07,-78.6,-72.59,-84.47,-74.89,-71.56,0.0,5.0
1700,-79.49,-80.72,-74.9,-78.59,-77.59,-77.56,-77.69,-82.61,0.1,5.0
1701,-79.44,-80.73,-74.73,-78.57,-77.2,-74.49,-77.27,-73.86,0.2,5.0
1702,-79.38,-80.74,-74.55,-78.54,-84.82,-83.23,-80.1,-77.75,0.3,5.0
1703,-79.33,-80.75,-74.37,-78.49,-81.98,-100,-71.92,-83.46,0.4,5.0
1704,-79.27,-80.76,-74.19,-78.43,-79.78,-70.84,-78.08,-73.88,0.5,5.0
1705,-79.22,-80.78,-74.0,-78.37,-81.08,-73.99,-79.89,-80.08,0.6,5.0
1706,-79.17,-80.8,-73.82,-78.29,-100,-80.33,-67.98,-84.96,0.7,5.0
1707,-79.12,-80.82,-73.62,-78.21,-77.41,-87.46,-73.43,-82.34,0.8,5.0
1708,-79.07,-80.85,-73.43,-78.12,-76.13,-89.78,-75.88,-77.14,0.9,5.0
1709,-79.02,-80.88,-73.23,-78.02,-81.35,-80.32,-76.77,-81.48,1.0,5.0
1710,-78.97,-80.91,-73.03,-77.92,-79.79,-100,-78.57,-85.33,1.1,5.0
1711,-78.92,-80.95,-72.82,-77.82,-76.05,-81.78,-73.53,-72.86,1.2,5.0
1712,-78.88,-80.98,-72.62,-77.71,-79.96,-74.6,-100,-73.73,1.3,5.0
1713,-78.84,-81.02,-72.41,-77.6,-73.55,-83.21,-77.13,-74.37,1.4,5.0
1714,-78.8,-81.07,-72.19,-77.5,-81.59,-74.42,-73.54,-81.45,1.5,5.0
1715,-78.76,-81.11,-71.98,-77.39,-100,-71.17,-75.55,-80.09,1.6,5.0
1716,-78.72,-81.16,-71.77,-77.28,-81.98,-80.95,-74.86,-78.76,1.7,5.0
1717,-78.68,-81.21,-71.55,-77.17,-77.03,-78.32,-81.78,-100,1.8,5.0
1718,-78.65,-81.26,-71.34,-77.06,-70.36,-100,-75.25,-78.09,1.9,5.0
1719,-78.61,-81.32,-71.12,-76.95,-63.93,-81.37,-81.24,-75.44,2.0,5.0
1720,-78.58,-81.37,-70.91,-76.85,-80.32,-85.48,-75.43,-81.86,2.1,5.0
1721,-78.56,-81.43,-70.71,-76.74,-70.55,-83.1,-74.41,-72.97,2.2,5.0
1722,-78.53,-81.49,-70.51,-76.64,-77.13,-89.32,-68.08,-74.74,2.3,5.0
1723,-78.51,-81.55,-70.31,-76.54,-77.6,-83.3,-100,-79.21,2.4,5.0
1724,-78.48,-81.61,-70.13,-76.44,-81.46,-84.46,-76.25,-100,2.5,5.0
1725,-78.46,-81.68,-69.96,-76.34,-78.65,-82.2,-74.65,-75.71,2.6,5.0
1726,-78.45,-81.75,-69.8,-76.24,-100,-76.01,-69.88,-75.4,2.7,5.0
1727,-78.43,-81.81,-69.66,-76.15,-100,-78.41,-73.02,-80.96,2.8,5.0
1728,-78.42,-81.88,-69.54,-76.06,-82.9,-74.05,-68.13,-75.54,2.9,5.0
1729,-78.41,-81.95,-69.43,-75.97,-87.58,-72.79,-100,-72.0,3.0,5.0
1730,-78.4,-82.02,-69.36,-75.88,-82.57,-90.29,-70.69,-77.91,3.1,5.0
1731,-78.4,-82.1,-69.3,-75.79,-67.09,-82.49,-72.05,-71.92,3.2,5.0
1732,-78.4,-82.17,-69.28,-75.7,-80.23,-85.62,-69.12,-68.66,3.3,5.0
1733,-78.52,-82.28,-68.83,-75.74,-86.2,-93.77,-63.63,-79.25,3.3,5.1
1734,-78.52,-82.21,-68.86,-75.83,-71.81,-80.21,-62.83,-73.04,3.2,5.1
1735,-78.53,-82.14,-68.92,-75.92,-83.15,-80.8,-64.76,-67.04,3.1,5.1
1736,-78.53,-82.07,-69.01,-76.01,-72.03,-83.94,-65.64,-79.05,3.0,5.1
1737,-78.54,-82.0,-69.13,-76.11,-75.48,-83.63,-69.97,-100,2.9,5.1
1738,-78.56,-81.93,-69.26,-76.2,-69.91,-76.48,-100,-77.83,2.8,5.1
1739,-78.57,-81.87,-69.42,-76.3,-100,-85.42,-64.09,-78.54,2.7,5.1
1740,-78.59,-81.8,-69.6,-76.4,-74.67,-100,-100,-71.43,2.6,5.1
